================================================================================
# Listar los módulos instalados 
================================================================================
-+-----------------------------------------------+-----------------+ 
-| Nombre                                        | Estado          | 
-+-----------------------------------------------+-----------------+ 
| account...................................... | activated       | 
|    +-- account_asset......................... | not activated   | 
|    +-- account_be............................ | not activated   | 
|    +-- account_budget........................ | not activated   | 
|    +-- account_cash_rounding................. | not activated   | 
|    +-- account_consolidation................. | not activated   | 
|    +-- account_credit_limit.................. | not activated   | 
|    +-- account_deposit....................... | not activated   | 
|    +-- account_de_skr03...................... | not activated   | 
|    +-- account_dunning....................... | not activated   | 
|    +-- account_dunning_email................. | not activated   | 
|    +-- account_dunning_fee................... | not activated   | 
|    +-- account_dunning_letter................ | not activated   | 
|    +-- account_es............................ | not activated   | 
|    +-- account_es_sii........................ | not activated   | 
|    +-- account_eu............................ | not activated   | 
|    +-- account_export........................ | not activated   | 
|    +-- account_export_winbooks............... | not activated   | 
|    +-- account_fr............................ | not activated   | 
|    +-- account_fr_chorus..................... | not activated   | 
|    +-- account_invoice....................... | activated       | 
|    +-- account_invoice_correction............ | not activated   | 
|    +-- account_invoice_defer................. | not activated   | 
|    +-- account_invoice_history............... | not activated   | 
|    +-- account_invoice_line_standalone....... | not activated   | 
|    +-- account_invoice_secondary_unit........ | not activated   | 
|    +-- account_invoice_stock................. | activated       | 
|    +-- account_invoice_watermark............. | not activated   | 
|    +-- account_move_line_grouping............ | not activated   | 
|    +-- account_payment....................... | activated       | 
|    +-- account_payment_braintree............. | not activated   | 
|    +-- account_payment_clearing.............. | not activated   | 
|    +-- account_payment_sepa.................. | not activated   | 
|    +-- account_payment_sepa_cfonb............ | not activated   | 
|    +-- account_payment_stripe................ | not activated   | 
|    +-- account_product....................... | activated       | 
|    +-- account_receivable_rule............... | not activated   | 
|    +-- account_rule.......................... | not activated   | 
|    +-- account_statement..................... | activated       | 
|    +-- account_statement_aeb43............... | not activated   | 
|    +-- account_statement_coda................ | not activated   | 
|    +-- account_statement_mt940............... | not activated   | 
|    +-- account_statement_ofx................. | not activated   | 
|    +-- account_statement_rule................ | not activated   | 
|    +-- account_statement_sepa................ | not activated   | 
|    +-- account_stock_anglo_saxon............. | not activated   | 
|    +-- account_stock_continental............. | not activated   | 
|    +-- account_stock_eu...................... | not activated   | 
|    +-- account_stock_landed_cost............. | not activated   | 
|    +-- account_stock_landed_cost_weight...... | not activated   | 
|    +-- account_stock_shipment_cost........... | not activated   | 
|    +-- account_stock_shipment_cost_weight.... | not activated   | 
|    +-- account_syscohada..................... | not activated   | 
